date,qty sold (kgs),avg.price (rs./kg),year,month,month_num,rainfall
2015-01-14,76699.0,861.93,2015,1,1,3.2
2015-01-14,76699.0,861.93,2015,1,1,3.2
2015-05-01,10132.0,680.56,2015,5,5,203.0
2015-05-01,20623.0,719.43,2015,5,5,203.0
2015-05-02,27568.0,655.47,2015,5,5,203.0
2015-05-02,47570.0,695.96,2015,5,5,203.0
2015-05-04,21104.0,682.17,2015,5,5,203.0
2015-05-04,17005.0,663.0,2015,5,5,203.0
2015-05-05,59573.0,700.58,2015,5,5,203.0
2015-05-05,37701.0,669.18,2015,5,5,203.0
2015-05-06,25501.0,683.69,2015,5,5,203.0
2015-05-06,32975.0,682.58,2015,5,5,203.0
2015-05-07,43298.0,671.64,2015,5,5,203.0
2015-05-07,58626.0,671.44,2015,5,5,203.0
2015-05-08,17821.0,670.56,2015,5,5,203.0
2015-05-08,34042.0,674.6,2015,5,5,203.0
2015-05-09,54237.0,669.21,2015,5,5,203.0
2015-05-09,27845.0,646.84,2015,5,5,203.0
2015-05-11,20950.0,657.36,2015,5,5,203.0
2015-05-11,29838.0,651.32,2015,5,5,203.0
2015-05-12,66605.0,690.72,2015,5,5,203.0
2015-05-12,53369.0,673.66,2015,5,5,203.0
2015-05-13,26444.0,659.24,2015,5,5,203.0
2015-05-13,33688.0,658.95,2015,5,5,203.0
2015-05-14,60321.0,643.62,2015,5,5,203.0
2015-05-14,52400.0,640.54,2015,5,5,203.0
2015-05-15,18797.0,631.49,2015,5,5,203.0
2015-05-15,36695.0,644.74,2015,5,5,203.0
2015-05-16,25366.0,595.33,2015,5,5,203.0
2015-05-16,61507.0,617.62,2015,5,5,203.0
2015-05-18,18410.0,627.98,2015,5,5,203.0
2015-05-19,38978.0,647.55,2015,5,5,203.0
2015-05-19,58744.0,653.84,2015,5,5,203.0
2015-05-20,32145.0,644.76,2015,5,5,203.0
2015-05-20,19499.0,660.18,2015,5,5,203.0
2015-05-21,54145.0,656.15,2015,5,5,203.0
2015-05-21,45795.0,668.57,2015,5,5,203.0
2015-05-22,11551.0,631.08,2015,5,5,203.0
2015-05-22,30605.0,644.5,2015,5,5,203.0
2015-05-23,21095.0,614.41,2015,5,5,203.0
2015-05-23,52213.0,637.24,2015,5,5,203.0
2015-05-25,10455.0,664.29,2015,5,5,203.0
2015-05-26,47413.0,696.05,2015,5,5,203.0
2015-05-26,52002.0,675.66,2015,5,5,203.0
2015-05-27,26540.0,699.88,2015,5,5,203.0
2015-05-27,35805.0,701.92,2015,5,5,203.0
2015-05-28,43415.0,670.56,2015,5,5,203.0
2015-05-28,50900.0,680.09,2015,5,5,203.0
2015-05-29,47779.0,675.42,2015,5,5,203.0
2015-05-29,21362.0,648.27,2015,5,5,203.0
2015-05-30,56387.0,663.16,2015,5,5,203.0
2015-05-30,30712.0,642.87,2015,5,5,203.0
2015-06-01,14321.0,663.35,2015,6,6,562.3
2015-06-02,60725.0,658.14,2015,6,6,562.3
2015-06-02,56825.0,684.54,2015,6,6,562.3
2015-06-03,25720.0,641.8,2015,6,6,562.3
2015-06-03,41228.0,656.34,2015,6,6,562.3
2015-06-04,58422.0,642.29,2015,6,6,562.3
2015-06-04,29007.0,633.6,2015,6,6,562.3
2015-06-05,11666.0,642.82,2015,6,6,562.3
2015-06-05,27541.0,615.1,2015,6,6,562.3
2015-06-06,41845.0,633.79,2015,6,6,562.3
2015-06-06,27033.0,605.33,2015,6,6,562.3
2015-06-08,20608.0,634.47,2015,6,6,562.3
2015-06-08,13495.0,648.38,2015,6,6,562.3
2015-06-09,46093.0,680.0,2015,6,6,562.3
2015-06-09,47603.0,661.75,2015,6,6,562.3
